1352057346096
eduroam,00:0c:e6:c9:30:02,-39,2437
eduroam,00:0c:e6:c8:9d:02,-45,2412
eduroam,00:0c:e6:c8:86:02,-52,2412
eduroam,00:0c:e6:c8:9d:42,-60,5180
eduroam,00:0c:e6:c8:93:02,-56,2412
eduroam,00:0c:e6:c9:30:42,-62,5180
eduroam,00:0c:e6:c9:31:02,-64,2437
eduroam,00:0c:e6:c8:95:02,-77,2412
eduroam,00:0c:e6:c8:a0:02,-77,2412
eduroam,00:0c:e6:c9:2f:02,-77,2437
eduroam,00:0c:e6:c8:92:42,-84,5180
eduroam,00:0c:e6:c9:31:42,-85,5180
eduroam,00:0c:e6:c8:88:42,-89,5180
eduroam,00:0c:e6:c8:8f:42,-91,5180

1352057347095
eduroam,00:0c:e6:c9:30:02,-39,2437
eduroam,00:0c:e6:c8:9d:02,-45,2412
eduroam,00:0c:e6:c8:86:02,-52,2412
eduroam,00:0c:e6:c8:9d:42,-60,5180
eduroam,00:0c:e6:c8:93:02,-56,2412
eduroam,00:0c:e6:c9:30:42,-62,5180
eduroam,00:0c:e6:c9:31:02,-64,2437
eduroam,00:0c:e6:c8:95:02,-77,2412
eduroam,00:0c:e6:c8:a0:02,-77,2412
eduroam,00:0c:e6:c9:2f:02,-77,2437
eduroam,00:0c:e6:c8:92:42,-84,5180
eduroam,00:0c:e6:c9:31:42,-85,5180
eduroam,00:0c:e6:c8:88:42,-89,5180
eduroam,00:0c:e6:c8:8f:42,-91,5180

1352057348099
eduroam,00:0c:e6:c9:30:02,-42,2437
eduroam,00:0c:e6:c8:9d:02,-67,2412
eduroam,00:0c:e6:c8:86:02,-52,2412
eduroam,00:0c:e6:c8:9d:42,-70,5180
eduroam,00:0c:e6:c8:93:02,-71,2412
eduroam,00:0c:e6:c9:30:42,-60,5180
eduroam,00:0c:e6:c9:31:02,-60,2437
eduroam,00:0c:e6:c8:95:02,-81,2412
eduroam,00:0c:e6:c8:a0:02,-81,2412
eduroam,00:0c:e6:c9:2f:02,-76,2437
eduroam,00:0c:e6:c8:92:42,-83,5180
eduroam,00:0c:e6:c9:31:42,-85,5180
eduroam,00:0c:e6:c8:88:42,-91,5180
eduroam,00:0c:e6:c8:8f:42,-91,5180
eduroam,00:0c:e6:c8:92:02,-74,2412
