00:0c:e6:c8:9d:02	-33
00:0c:e6:c8:92:02	-45
00:0c:e6:c8:9d:42	-56
00:0c:e6:c9:30:02	-56
00:0c:e6:c8:93:02	-57
00:0c:e6:c8:92:42	-65
00:0c:e6:c8:95:02	-64
00:0c:e6:c8:95:42	-73
00:0c:e6:c9:30:42	-69
00:0c:e6:c8:94:02	-76
00:0c:e6:c8:94:42	-78
00:0c:e6:c8:88:02	-73
00:0c:e6:c8:93:42	-83
00:0c:e6:c8:86:02	-74
00:0c:e6:c8:9f:02	-78
00:0c:e6:c9:31:02	-80
00:0c:e6:c8:96:42	-89
00:0c:e6:c8:96:02	-78
00:0c:e6:c8:78:02	-81
00:0c:e6:c8:9c:02	-84
00:0c:e6:c9:2f:02	-92
00:0c:e6:c8:9d:02	-33
00:0c:e6:c8:92:02	-45
00:0c:e6:c8:9d:42	-56
00:0c:e6:c9:30:02	-56
00:0c:e6:c8:93:02	-57
00:0c:e6:c8:92:42	-65
00:0c:e6:c8:95:02	-64
00:0c:e6:c8:95:42	-73
00:0c:e6:c9:30:42	-69
00:0c:e6:c8:94:02	-76
00:0c:e6:c8:94:42	-78
00:0c:e6:c8:88:02	-73
00:0c:e6:c8:93:42	-83
00:0c:e6:c8:86:02	-74
00:0c:e6:c8:9f:02	-78
00:0c:e6:c9:31:02	-80
00:0c:e6:c8:96:42	-89
00:0c:e6:c8:96:02	-78
00:0c:e6:c8:78:02	-81
00:0c:e6:c8:9c:02	-84
00:0c:e6:c9:2f:02	-92
00:0c:e6:c8:9d:02	-34
00:0c:e6:c8:92:02	-45
00:0c:e6:c8:9d:42	-60
00:0c:e6:c9:30:02	-47
00:0c:e6:c8:93:02	-52
00:0c:e6:c8:92:42	-71
00:0c:e6:c8:95:02	-63
00:0c:e6:c8:95:42	-73
00:0c:e6:c9:30:42	-73
00:0c:e6:c8:94:02	-68
00:0c:e6:c8:88:02	-74
00:0c:e6:c8:93:42	-78
00:0c:e6:c8:86:02	-70
00:0c:e6:c8:9f:02	-75
00:0c:e6:c9:31:02	-74
00:0c:e6:c8:96:42	-89
00:0c:e6:c8:96:02	-75
00:0c:e6:c8:78:02	-76
00:0c:e6:c8:9c:02	-81
00:0c:e6:c9:2f:02	-92
00:0c:e6:c8:84:02	-77
00:0c:e6:c8:9f:42	-92
00:0c:e6:c8:9d:02	-34
00:0c:e6:c8:92:02	-45
00:0c:e6:c8:9d:42	-60
00:0c:e6:c9:30:02	-47
00:0c:e6:c8:93:02	-52
00:0c:e6:c8:92:42	-71
00:0c:e6:c8:95:02	-63
00:0c:e6:c8:95:42	-73
00:0c:e6:c9:30:42	-73
00:0c:e6:c8:94:02	-68
00:0c:e6:c8:88:02	-74
00:0c:e6:c8:93:42	-78
00:0c:e6:c8:86:02	-70
00:0c:e6:c8:9f:02	-75
00:0c:e6:c9:31:02	-74
00:0c:e6:c8:96:42	-89
00:0c:e6:c8:96:02	-75
00:0c:e6:c8:78:02	-76
00:0c:e6:c8:9c:02	-81
00:0c:e6:c9:2f:02	-92
00:0c:e6:c8:84:02	-77
00:0c:e6:c8:9f:42	-92
00:0c:e6:c8:9d:02	-36
00:0c:e6:c8:92:02	-52
00:0c:e6:c8:9d:42	-50
00:0c:e6:c9:30:02	-50
00:0c:e6:c8:93:02	-55
00:0c:e6:c8:92:42	-72
00:0c:e6:c8:95:02	-65
00:0c:e6:c8:95:42	-75
00:0c:e6:c9:30:42	-72
00:0c:e6:c8:94:02	-72
00:0c:e6:c8:88:02	-71
00:0c:e6:c8:93:42	-77
00:0c:e6:c8:86:02	-68
00:0c:e6:c8:9f:02	-73
00:0c:e6:c9:31:02	-74
00:0c:e6:c8:96:42	-92
00:0c:e6:c8:96:02	-77
00:0c:e6:c8:78:02	-79
00:0c:e6:c8:9c:02	-81
00:0c:e6:c8:84:02	-81
00:0c:e6:c8:9f:42	-92
00:0c:e6:c8:9d:02	-36
00:0c:e6:c8:92:02	-52
00:0c:e6:c8:9d:42	-50
00:0c:e6:c9:30:02	-50
00:0c:e6:c8:93:02	-55
00:0c:e6:c8:92:42	-72
00:0c:e6:c8:95:02	-65
00:0c:e6:c8:95:42	-75
00:0c:e6:c9:30:42	-72
00:0c:e6:c8:94:02	-72
00:0c:e6:c8:88:02	-71
00:0c:e6:c8:93:42	-77
00:0c:e6:c8:86:02	-68
00:0c:e6:c8:9f:02	-73
00:0c:e6:c9:31:02	-74
00:0c:e6:c8:96:42	-92
00:0c:e6:c8:96:02	-77
00:0c:e6:c8:78:02	-79
00:0c:e6:c8:9c:02	-81
00:0c:e6:c8:84:02	-81
00:0c:e6:c8:9f:42	-92
00:0c:e6:c8:9d:02	-37
00:0c:e6:c8:92:02	-49
00:0c:e6:c8:9d:42	-54
00:0c:e6:c9:30:02	-57
00:0c:e6:c8:93:02	-57
00:0c:e6:c8:92:42	-70
00:0c:e6:c8:95:02	-63
00:0c:e6:c8:95:42	-78
00:0c:e6:c9:30:42	-71
00:0c:e6:c8:94:02	-73
00:0c:e6:c8:88:02	-74
00:0c:e6:c8:93:42	-79
