248-1,599,986,00:0c:e6:81:08:44,-83,00:0c:e6:81:06:04,-82,00:0c:e6:80:fe:04,-84,00:0c:e6:81:90:04,-72,00:0c:e6:81:09:04,-68,00:0c:e6:81:05:04,-75,00:0c:e6:81:08:04,-61,00:0c:e6:80:4c:04,-85,00:0c:e6:81:09:44,-87,00:0c:e6:81:90:44,-91,,,,,,,,,,,,,,,,
248-2,730,984,00:0c:e6:81:08:44,-81,00:0c:e6:80:49:04,-83,00:0c:e6:81:06:04,-85,00:0c:e6:80:fe:04,-81,00:0c:e6:81:90:04,-74,00:0c:e6:81:09:04,-67,00:0c:e6:81:05:04,-76,00:0c:e6:81:08:04,-63,00:0c:e6:80:4c:04,-85,00:0c:e6:81:09:44,-85,00:0c:e6:81:90:44,-90,,,,,,,,,,,,,,
248-3,840,985,00:0c:e6:81:08:44,-86,00:0c:e6:81:06:04,-84,00:0c:e6:81:90:04,-79,00:0c:e6:81:09:04,-75,00:0c:e6:81:05:04,-81,00:0c:e6:81:08:04,-64,00:0c:e6:80:4c:04,-83,00:0c:e6:81:09:44,-89,00:0c:e6:81:90:44,-92,,,,,,,,,,,,,,,,,,
248-4,599,1157,00:0c:e6:81:08:44,-77,00:0c:e6:81:06:04,-84,00:0c:e6:81:05:44,-89,00:0c:e6:81:90:04,-76,00:0c:e6:81:05:04,-71,00:0c:e6:81:09:04,-70,00:0c:e6:81:08:04,-61,00:0c:e6:80:4c:04,-86,00:0c:e6:81:09:44,-88,,,,,,,,,,,,,,,,,,
248-5,729,1159,00:0c:e6:81:08:44,-76,00:0c:e6:81:06:04,-84,00:0c:e6:81:05:44,-90,00:0c:e6:81:90:04,-78,00:0c:e6:81:05:04,-71,00:0c:e6:81:09:04,-69,00:0c:e6:81:08:04,-59,00:0c:e6:80:4c:04,-84,00:0c:e6:81:09:44,-85,00:0c:e6:81:90:44,-90,,,,,,,,,,,,,,,,
248-6,843,1163,00:0c:e6:81:08:44,-85,00:0c:e6:81:06:04,-87,00:0c:e6:81:90:04,-82,00:0c:e6:81:05:04,-81,00:0c:e6:81:09:04,-76,00:0c:e6:81:08:04,-69,00:0c:e6:81:09:44,-89,00:0c:e6:81:90:44,-93,,,,,,,,,,,,,,,,,,,,
248-7,601,1355,00:0c:e6:81:08:44,-80,00:0c:e6:81:05:44,-90,00:0c:e6:81:90:04,-84,00:0c:e6:81:05:04,-77,00:0c:e6:81:09:04,-78,00:0c:e6:81:08:04,-64,00:0c:e6:80:4c:04,-90,00:0c:e6:81:09:44,-90,,,,,,,,,,,,,,,,,,,,
248-8,732,1356,00:0c:e6:81:08:44,-84,00:0c:e6:81:05:44,-90,00:0c:e6:81:06:04,-85,00:0c:e6:81:90:04,-83,00:0c:e6:81:05:04,-82,00:0c:e6:81:09:04,-79,00:0c:e6:81:08:04,-68,00:0c:e6:81:09:44,-90,00:0c:e6:81:90:44,-91,,,,,,,,,,,,,,,,,,
248-9,839,1355,00:0c:e6:81:08:44,-85,00:0c:e6:81:90:04,-78,00:0c:e6:81:05:04,-78,00:0c:e6:81:09:04,-69,00:0c:e6:81:08:04,-62,00:0c:e6:80:4c:04,-84,00:0c:e6:81:09:44,-92,,,,,,,,,,,,,,,,,,,,,,
219-1,158,830,00:0c:e6:81:08:44,-86,00:0c:e6:81:06:04,-81,00:0c:e6:80:fe:04,-84,00:0c:e6:81:90:04,-71,00:0c:e6:81:05:04,-83,00:0c:e6:81:08:04,-64,00:0c:e6:81:09:04,-66,00:0c:e6:81:09:44,-83,00:0c:e6:81:90:44,-85,,,,,,,,,,,,,,,,,,
